id,name,description,organisation_unit_level_id,parent_organisation_unit_id,archived,address,phone,email,latitude,longitude
310,Oji River,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
311,Udenu,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
312,Udi,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
313,Uzo Uwani,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
314,Abaji,Local government in FCT,3,16,0,NULL,NULL,NULL,NULL,NULL
315,Bwari,Local government in FCT,3,16,0,NULL,NULL,NULL,NULL,NULL
316,Gwagwalada,Local government in FCT,3,16,0,NULL,NULL,NULL,NULL,NULL
317,Kuje,Local government in FCT,3,16,0,NULL,NULL,NULL,NULL,NULL
318,Kwali,Local government in FCT,3,16,0,NULL,NULL,NULL,NULL,NULL
319,Abuja Municipal,Local government in FCT,3,16,0,NULL,NULL,NULL,NULL,NULL
320,Akko,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
321,Balanga,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
322,Billiri,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
323,Dukku,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
324,Funakaye,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
325,Gombe,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
326,Kaltungo,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
327,Kwami,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
328,Nafada,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
329,Shongom,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
330,Yamaltu/Deba,Local government in Gombe State,3,17,0,NULL,NULL,NULL,NULL,NULL
331,Aboh Mbaise,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
332,Ahiazu Mbaise,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
333,Ehime Mbano,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
334,Ezinihitte,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
335,Ideato North,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
336,Ideato South,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
337,Ihitte/Uboma,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
338,Ikeduru,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
339,Isiala Mbano,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
340,Isu,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
341,Mbaitoli,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
342,Ngor Okpala,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
343,Njaba,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
344,Nkwerre,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
345,Nwangele,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
346,Obowo,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
347,Oguta,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
348,Ohaji/Egbema,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
349,Okigwe,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
350,Orlu,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
351,Orsu,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
352,Oru East,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
353,Oru West,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
354,Owerri Municipal,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
355,Owerri North,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
356,Owerri West,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
357,Unuimo,Local government in Imo State,3,18,0,NULL,NULL,NULL,NULL,NULL
358,Auyo,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
359,Babura,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
360,Biriniwa,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
361,Birnin Kudu,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
362,Buji,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
363,Dutse,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
364,Gagarawa,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
365,Garki,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
366,Gumel,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
367,Guri,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
368,Gwaram,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
369,Gwiwa,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
370,Hadejia,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
371,Jahun,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
372,Kafin Hausa,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
373,Kazaure,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
374,Kiri Kasama,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
375,Kiyawa,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
376,Kaugama,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
377,Maigatari,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
378,Malam Madori,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
379,Miga,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
380,Ringim,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
381,Roni,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
382,Sule Tankarkar,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
383,Taura,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
384,Yankwashi,Local government in Jigawa State,3,19,0,NULL,NULL,NULL,NULL,NULL
385,Birnin Gwari,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
386,Chikun,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
387,Giwa,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
388,Igabi,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
389,Ikara,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
390,Jaba,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
391,Jema'a,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
392,Kachia,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
393,Kaduna North,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
394,Kaduna South,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
395,Kagarko,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
396,Kajuru,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
397,Kaura,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
398,Kauru,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
399,Kubau,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
400,Kudan,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
401,Lere,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
402,Makarfi,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
403,Sabon Gari,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
404,Sanga,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
405,Soba,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
406,Zangon Kataf,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
407,Zaria,Local government in Kaduna State,3,20,0,NULL,NULL,NULL,NULL,NULL
408,Ajingi,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
409,Albasu,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
410,Bagwai,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
411,Bebeji,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
412,Bichi,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
413,Bunkure,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
414,Dala,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
415,Dambatta,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
416,Dawakin Kudu,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
417,Dawakin Tofa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
418,Doguwa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
419,Fagge,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
420,Gabasawa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
421,Garko,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
422,Garun Mallam,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
423,Gaya,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
424,Gezawa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
425,Gwale,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
426,Gwarzo,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
427,Kabo,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
428,Kano Municipal,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
429,Karaye,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
430,Kibiya,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
431,Kiru,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
432,Kumbotso,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
433,Kunchi,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
434,Kura,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
435,Madobi,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
436,Makoda,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
437,Minjibir,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
438,Nasarawa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
439,Rano,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
440,Rimin Gado,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
441,Rogo,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
442,Shanono,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
443,Sumaila,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
444,Takai,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
445,Tarauni,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
446,Tofa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
447,Tsanyawa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
448,Tudun Wada,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
449,Ungogo,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
450,Warawa,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
451,Wudil,Local government in Kano State,3,21,0,NULL,NULL,NULL,NULL,NULL
452,Bakori,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
453,Batagarawa,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
454,Batsari,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
455,Baure,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
456,Bindawa,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
457,Charanchi,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
458,Dandume,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
459,Danja,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
460,Dan Musa,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
461,Daura,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
462,Dutsi,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
463,Dutsin Ma,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
464,Faskari,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
465,Funtua,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
466,Ingawa,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
467,Jibia,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
468,Kafur,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
469,Kaita,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
470,Kankara,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
471,Kankia,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
472,Katsina,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
473,Kurfi,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
474,Kusada,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
475,Mai'Adua,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
476,Malumfashi,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
477,Mani,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
478,Mashi,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
479,Matazu,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
480,Musawa,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
481,Rimi,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
482,Sabuwa,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
483,Safana,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
484,Sandamu,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
485,Zango,Local government in Katsina State,3,22,0,NULL,NULL,NULL,NULL,NULL
486,Aleiro,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
487,Arewa Dandi,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
488,Argungu,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
489,Augie,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
490,Bagudo,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
491,Birnin Kebbi,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
492,Bunza,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
493,Dandi,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
494,Fakai,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
495,Gwandu,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
496,Jega,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
497,Kalgo,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
498,Koko/Besse,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
499,Maiyama,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
500,Ngaski,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
501,Sakaba,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
502,Shanga,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
503,Suru,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
504,Wasagu/Danko,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
505,Yauri,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
506,Zuru,Local government in Kebbi State,3,23,0,NULL,NULL,NULL,NULL,NULL
507,Adavi,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
508,Ajaokuta,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
509,Ankpa,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
510,Bassa,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
511,Dekina,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
512,Ibaji,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
513,Idah,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
514,Igalamela Odolu,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
515,Ijumu,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
516,Kabba/Bunu,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
517,Kogi,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
518,Lokoja,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
519,Mopa Muro,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
520,Ofu,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
521,Ogori/Magongo,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
522,Okehi,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
523,Okene,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
524,Olamaboro,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
525,Omala,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
526,Yagba East,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
527,Yagba West,Local government in Kogi State,3,24,0,NULL,NULL,NULL,NULL,NULL
528,Asa,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
529,Baruten,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
530,Edu,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
531,Ekiti,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
532,Ifelodun,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
533,Ilorin East,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
534,Ilorin South,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
535,Ilorin West,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
536,Irepodun,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
537,Isin,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
538,Kaiama,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
539,Moro,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
540,Offa,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
541,Oke Ero,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
542,Oyun,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
543,Pategi,Local government in Kwara State,3,25,0,NULL,NULL,NULL,NULL,NULL
544,Agege,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
545,Ajeromi-Ifelodun,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
546,Alimosho,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
547,Amuwo-Odofin,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
548,Apapa,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
549,Badagry,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
550,Epe,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
551,Eti Osa,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
552,Ibeju-Lekki,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
553,Ifako-Ijaiye,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
554,Ikeja,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
555,Ikorodu,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
556,Kosofe,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
557,Lagos Island,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
558,Lagos Mainland,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
559,Mushin,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
560,Ojo,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
561,Oshodi-Isolo,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
562,Shomolu,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
563,Surulere,Local government in Lagos State,3,26,0,NULL,NULL,NULL,NULL,NULL
564,Akwanga,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
565,Awe,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
566,Doma,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
567,Karu,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
568,Keana,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
569,Keffi,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
570,Kokona,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
571,Lafia,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
572,Nasarawa,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
573,Nasarawa Egon,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
574,Obi,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
575,Toto,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
576,Wamba,Local government in Nasarawa State,3,27,0,NULL,NULL,NULL,NULL,NULL
577,Agaie,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
578,Agwara,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
579,Bida,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
580,Borgu,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
581,Bosso,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
582,Chanchaga,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
583,Edati,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
584,Gbako,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
585,Gurara,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
586,Katcha,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
587,Kontagora,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
588,Lapai,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
589,Lavun,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
590,Magama,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
591,Mariga,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
592,Mashegu,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
593,Mokwa,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
594,Moya,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
595,Paikoro,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
596,Rafi,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
597,Rijau,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
598,Shiroro,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
599,Suleja,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
600,Tafa,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
601,Wushishi,Local government in Niger State,3,28,0,NULL,NULL,NULL,NULL,NULL
602,Abeokuta North,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
603,Abeokuta South,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
604,Ado-Odo/Ota,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
605,Egbado North,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
606,Egbado South,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
607,Ewekoro,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
608,Ifo,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
609,Ijebu East,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
610,Ijebu North,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
611,Ijebu North East,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
612,Ijebu Ode,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
613,Ikenne,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
614,Imeko Afon,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
615,Ipokia,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
616,Obafemi Owode,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
617,Odeda,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
618,Odogbolu,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
619,Ogun Waterside,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
620,Remo North,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
621,Shagamu,Local government in Ogun State,3,29,0,NULL,NULL,NULL,NULL,NULL
622,Akoko North-East,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
623,Akoko North-West,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
624,Akoko South-West,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
625,Akoko South-East,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
